food_name,per_100_ml_or_gm,cal_per_100_ml_or_gms,kj_per_100_ml_or_gms,per_serving,cal_per_serving,kj_per_serving,per_ounces,cal_per_ounces,kj_per_ounces
Acai Juice,100ml,58 cal,244 kJ,8 fl. oz. (240 ml),139 cal,586 kJ,1 fl. oz. (30 ml),17 cal,73 kJ
Aloe Vera,100ml,44 cal,185 kJ,8 fl. oz. (240 ml),106 cal,444 kJ,1 fl. oz. (30 ml),13 cal,56 kJ
Apple Juice,100ml,46 cal,193 kJ,8 fl. oz. (240 ml),110 cal,463 kJ,1 fl. oz. (30 ml),14 cal,58 kJ
Apricot Nectar,100ml,56 cal,235 kJ,8 fl. oz. (240 ml),134 cal,564 kJ,1 fl. oz. (30 ml),17 cal,71 kJ
Banana Juice,100ml,50 cal,210 kJ,8 fl. oz. (240 ml),120 cal,504 kJ,1 fl. oz. (30 ml),15 cal,63 kJ
Blackberry Juice,100ml,48 cal,202 kJ,8 fl. oz. (240 ml),115 cal,485 kJ,1 fl. oz. (30 ml),14 cal,61 kJ
Boysenberry Juice,100ml,54 cal,227 kJ,8 fl. oz. (240 ml),130 cal,545 kJ,1 fl. oz. (30 ml),16 cal,68 kJ
Capri-Sun,100ml,41 cal,172 kJ,1 capri-sun (200 ml),82 cal,344 kJ,1 fl. oz. (30 ml),12 cal,52 kJ
Carrot Juice,100ml,40 cal,168 kJ,8 fl. oz. (240 ml),96 cal,403 kJ,1 fl. oz. (30 ml),12 cal,50 kJ
Chamomile Tea,100ml,0 cal,0 kJ,8 fl. oz. (240 ml),0 cal,0 kJ,1 fl. oz. (30 ml),0 cal,0 kJ
Cherry Juice,100ml,45 cal,189 kJ,8 fl. oz. (240 ml),108 cal,454 kJ,1 fl. oz. (30 ml),14 cal,57 kJ
Clamato,100ml,60 cal,252 kJ,8 fl. oz. (240 ml),144 cal,605 kJ,1 fl. oz. (30 ml),18 cal,76 kJ
Coconut Milk,100ml,233 cal,979 kJ,8 fl. oz. (240 ml),559 cal,2350 kJ,1 fl. oz. (30 ml),70 cal,294 kJ
Coconut Water,100ml,19 cal,80 kJ,8 fl. oz. (240 ml),46 cal,192 kJ,1 fl. oz. (30 ml),6 cal,24 kJ
Concord Grape,100ml,71 cal,298 kJ,8 fl. oz. (240 ml),170 cal,715 kJ,1 fl. oz. (30 ml),21 cal,89 kJ
Cranberry Apple Juice,100ml,67 cal,281 kJ,8 fl. oz. (240 ml),161 cal,674 kJ,1 fl. oz. (30 ml),20 cal,84 kJ
Cranberry Grape Juice,100ml,71 cal,298 kJ,8 fl. oz. (240 ml),170 cal,715 kJ,1 fl. oz. (30 ml),21 cal,89 kJ
Cranberry Juice,100ml,46 cal,193 kJ,8 fl. oz. (240 ml),110 cal,463 kJ,1 fl. oz. (30 ml),14 cal,58 kJ
Cucumber Juice,100ml,10 cal,42 kJ,8 fl. oz. (240 ml),24 cal,101 kJ,1 fl. oz. (30 ml),3 cal,13 kJ
Currant Juice,100ml,48 cal,202 kJ,8 fl. oz. (240 ml),115 cal,485 kJ,1 fl. oz. (30 ml),14 cal,61 kJ
Energy-Drink,100ml,87 cal,365 kJ,12 fl. oz. (355 ml),309 cal,1296 kJ,1 fl. oz. (30 ml),26 cal,110 kJ
Fruitopia,100ml,110 cal,462 kJ,8 fl. oz. (240 ml),264 cal,1109 kJ,1 fl. oz. (30 ml),33 cal,139 kJ
Grape Juice,100ml,60 cal,252 kJ,8 fl. oz. (240 ml),144 cal,605 kJ,1 fl. oz. (30 ml),18 cal,76 kJ
Grapefruit Juice,100ml,46 cal,193 kJ,8 fl. oz. (240 ml),110 cal,463 kJ,1 fl. oz. (30 ml),14 cal,58 kJ
Lemon Juice,100ml,21 cal,88 kJ,8 fl. oz. (240 ml),50 cal,211 kJ,1 fl. oz. (30 ml),6 cal,26 kJ
Lemonade,100ml,50 cal,210 kJ,8 fl. oz. (240 ml),120 cal,504 kJ,1 fl. oz. (30 ml),15 cal,63 kJ
Lime Juice,100ml,21 cal,88 kJ,8 fl. oz. (240 ml),50 cal,211 kJ,1 fl. oz. (30 ml),6 cal,26 kJ
Limeade,100ml,128 cal,538 kJ,8 fl. oz. (240 ml),307 cal,1291 kJ,1 fl. oz. (30 ml),38 cal,161 kJ
Mango Lassi,100ml,66 cal,277 kJ,8 fl. oz. (240 ml),158 cal,665 kJ,1 fl. oz. (30 ml),20 cal,83 kJ
Nestea,100ml,21 cal,88 kJ,8 fl. oz. (240 ml),50 cal,211 kJ,1 fl. oz. (30 ml),6 cal,26 kJ
Orange Juice,100ml,46 cal,193 kJ,8 fl. oz. (240 ml),110 cal,463 kJ,1 fl. oz. (30 ml),14 cal,58 kJ
Papaya Juice,100ml,58 cal,244 kJ,8 fl. oz. (240 ml),139 cal,586 kJ,1 fl. oz. (30 ml),17 cal,73 kJ
Passion Fruit Juice,100ml,48 cal,202 kJ,8 fl. oz. (240 ml),115 cal,485 kJ,1 fl. oz. (30 ml),14 cal,61 kJ
Peach Juice,100ml,54 cal,227 kJ,8 fl. oz. (240 ml),130 cal,545 kJ,1 fl. oz. (30 ml),16 cal,68 kJ
Peach Nectar,100ml,54 cal,227 kJ,8 fl. oz. (240 ml),130 cal,545 kJ,1 fl. oz. (30 ml),16 cal,68 kJ
Pear Juice,100ml,60 cal,252 kJ,8 fl. oz. (240 ml),144 cal,605 kJ,1 fl. oz. (30 ml),18 cal,76 kJ
Pear Nectar,100ml,60 cal,252 kJ,8 fl. oz. (240 ml),144 cal,605 kJ,1 fl. oz. (30 ml),18 cal,76 kJ
Pineapple Juice,100ml,53 cal,223 kJ,8 fl. oz. (240 ml),127 cal,535 kJ,1 fl. oz. (30 ml),16 cal,67 kJ
Pineapple Orange Juice,100ml,50 cal,210 kJ,8 fl. oz. (240 ml),120 cal,504 kJ,1 fl. oz. (30 ml),15 cal,63 kJ
Plum Juice,100ml,71 cal,298 kJ,8 fl. oz. (240 ml),170 cal,715 kJ,1 fl. oz. (30 ml),21 cal,89 kJ
Pomegranate Juice,100ml,66 cal,277 kJ,8 fl. oz. (240 ml),158 cal,665 kJ,1 fl. oz. (30 ml),20 cal,83 kJ
Sauerkraut Juice,100ml,14 cal,59 kJ,8 fl. oz. (240 ml),34 cal,142 kJ,1 fl. oz. (30 ml),4 cal,18 kJ
Tangerine Juice,100ml,43 cal,181 kJ,8 fl. oz. (240 ml),103 cal,434 kJ,1 fl. oz. (30 ml),13 cal,54 kJ
Tomato Juice,100ml,17 cal,71 kJ,8 fl. oz. (240 ml),41 cal,170 kJ,1 fl. oz. (30 ml),5 cal,21 kJ
Vegetable Juice,100ml,21 cal,88 kJ,8 fl. oz. (240 ml),50 cal,211 kJ,1 fl. oz. (30 ml),6 cal,26 kJ
White Grape Juice,100ml,75 cal,315 kJ,8 fl. oz. (240 ml),180 cal,756 kJ,1 fl. oz. (30 ml),23 cal,95 kJ
Absinthe,100ml,348 cal,1462 kJ,1 1/2 fl. oz. (44 ml),153 cal,643 kJ,1 fl. oz. (30 ml),104 cal,439 kJ
Advocaat,100ml,283 cal,1189 kJ,1 1/2 fl. oz. (44 ml),125 cal,523 kJ,1 fl. oz. (30 ml),85 cal,357 kJ
Amaretto,100ml,310 cal,1302 kJ,1 shot (25 ml),78 cal,326 kJ,1 fl. oz. (30 ml),93 cal,391 kJ
Applejack,100ml,233 cal,979 kJ,1 1/2 fl. oz. (44 ml),103 cal,431 kJ,1 fl. oz. (30 ml),70 cal,294 kJ
Asti,100ml,138 cal,580 kJ,1 glass (100 ml),138 cal,580 kJ,1 fl. oz. (30 ml),41 cal,174 kJ
Baileys,100ml,327 cal,1373 kJ,1 1/2 fl. oz. (44 ml),144 cal,604 kJ,1 fl. oz. (30 ml),98 cal,412 kJ
Baileyƒ??s Irish Cream,100ml,327 cal,1373 kJ,1 1/2 fl. oz. (44 ml),144 cal,604 kJ,1 fl. oz. (30 ml),98 cal,412 kJ
Beer,100ml,43 cal,181 kJ,1 can (355 ml),153 cal,643 kJ,1 fl. oz. (30 ml),13 cal,54 kJ
Blue Curacao,100ml,243 cal,1021 kJ,1 fl. oz. (30 ml),73 cal,306 kJ,1 fl. oz. (30 ml),73 cal,306 kJ
Bourbon,100ml,233 cal,979 kJ,1 1/2 fl. oz. (44 ml),103 cal,431 kJ,1 fl. oz. (30 ml),70 cal,294 kJ
Brandy,100ml,213 cal,895 kJ,1 1/2 fl. oz. (44 ml),94 cal,394 kJ,1 fl. oz. (30 ml),64 cal,269 kJ
Canadian Whiskey,100ml,216 cal,907 kJ,1 1/2 fl. oz. (44 ml),95 cal,399 kJ,1 fl. oz. (30 ml),65 cal,272 kJ
Chambord,100ml,348 cal,1462 kJ,1 glass (150 ml),522 cal,2193 kJ,1 fl. oz. (30 ml),104 cal,439 kJ
Champagne,100ml,75 cal,315 kJ,1 glass (100 ml),75 cal,315 kJ,1 fl. oz. (30 ml),23 cal,95 kJ
Cider,100ml,49 cal,206 kJ,1 glass (150 ml),74 cal,309 kJ,1 fl. oz. (30 ml),15 cal,62 kJ
Cognac,100ml,235 cal,987 kJ,1 1/2 fl. oz. (44 ml),103 cal,434 kJ,1 fl. oz. (30 ml),71 cal,296 kJ
Cointreau,100ml,320 cal,1344 kJ,1 1/2 fl. oz. (44 ml),141 cal,591 kJ,1 fl. oz. (30 ml),96 cal,403 kJ
Drambuie,100ml,358 cal,1504 kJ,1 1/2 fl. oz. (44 ml),158 cal,662 kJ,1 fl. oz. (30 ml),107 cal,451 kJ
Frangelico,100ml,238 cal,1000 kJ,1 1/2 fl. oz. (44 ml),105 cal,440 kJ,1 fl. oz. (30 ml),71 cal,300 kJ
Gin,100ml,263 cal,1105 kJ,1 shot (25 ml),66 cal,276 kJ,1 fl. oz. (30 ml),79 cal,332 kJ
Glenfiddich,100ml,230 cal,966 kJ,1 1/2 fl. oz. (44 ml),101 cal,425 kJ,1 fl. oz. (30 ml),69 cal,290 kJ
Grand Marnier,100ml,253 cal,1063 kJ,1 1/2 fl. oz. (44 ml),111 cal,468 kJ,1 fl. oz. (30 ml),76 cal,319 kJ
Irish Whiskey,100ml,233 cal,979 kJ,1 1/2 fl. oz. (44 ml),103 cal,431 kJ,1 fl. oz. (30 ml),70 cal,294 kJ
Jack Danielƒ??s,100ml,146 cal,613 kJ,1 1/2 fl. oz. (44 ml),64 cal,270 kJ,1 fl. oz. (30 ml),44 cal,184 kJ
Jagermeister,100ml,250 cal,1050 kJ,1 shot (25 ml),63 cal,263 kJ,1 fl. oz. (30 ml),75 cal,315 kJ
Jim Beam,100ml,222 cal,932 kJ,1 1/2 fl. oz. (44 ml),98 cal,410 kJ,1 fl. oz. (30 ml),67 cal,280 kJ
Kahlua,100ml,180 cal,756 kJ,1 shot (25 ml),45 cal,189 kJ,1 fl. oz. (30 ml),54 cal,227 kJ
Liqueur,100ml,250 cal,1050 kJ,1 shot (25 ml),63 cal,263 kJ,1 fl. oz. (30 ml),75 cal,315 kJ
Liquor,100ml,250 cal,1050 kJ,1 shot (25 ml),63 cal,263 kJ,1 fl. oz. (30 ml),75 cal,315 kJ
Midori,100ml,267 cal,1121 kJ,1 fl. oz. (30 ml),80 cal,336 kJ,1 fl. oz. (30 ml),80 cal,336 kJ
Prosecco,100ml,66 cal,277 kJ,1 glass (100 ml),66 cal,277 kJ,1 fl. oz. (30 ml),20 cal,83 kJ
Punch,100ml,62 cal,260 kJ,1 cup (237 ml),147 cal,616 kJ,1 fl. oz. (30 ml),19 cal,78 kJ
Red Wine,100ml,85 cal,357 kJ,1 glass (150 ml),128 cal,536 kJ,1 fl. oz. (30 ml),26 cal,107 kJ
Rose Wine,100ml,71 cal,298 kJ,1 glass (150 ml),107 cal,447 kJ,1 fl. oz. (30 ml),21 cal,89 kJ
Rum,100ml,231 cal,970 kJ,1 1/2 fl. oz. (44 ml),102 cal,427 kJ,1 fl. oz. (30 ml),69 cal,291 kJ
Sambuca,100ml,333 cal,1399 kJ,1 shot (25 ml),83 cal,350 kJ,1 fl. oz. (30 ml),100 cal,420 kJ
Sangria,100ml,96 cal,403 kJ,1 glass (250 ml),240 cal,1008 kJ,1 fl. oz. (30 ml),29 cal,121 kJ
Scotch,100ml,222 cal,932 kJ,1 1/2 fl. oz. (44 ml),98 cal,410 kJ,1 fl. oz. (30 ml),67 cal,280 kJ
Sherry,100ml,116 cal,487 kJ,1 1/2 fl. oz. (44 ml),51 cal,214 kJ,1 fl. oz. (30 ml),35 cal,146 kJ
Sloe Gin,100ml,332 cal,1394 kJ,1 shot (25 ml),83 cal,349 kJ,1 fl. oz. (30 ml),100 cal,418 kJ
Southern Comfort,100ml,247 cal,1037 kJ,1 1/2 fl. oz. (44 ml),109 cal,456 kJ,1 fl. oz. (30 ml),74 cal,311 kJ
Tequila,100ml,110 cal,462 kJ,1 shot (25 ml),28 cal,116 kJ,1 fl. oz. (30 ml),33 cal,139 kJ
Triple Sec,100ml,153 cal,643 kJ,1 glass (150 ml),230 cal,965 kJ,1 fl. oz. (30 ml),46 cal,193 kJ
Vermouth,100ml,130 cal,546 kJ,1 1/2 fl. oz. (44 ml),57 cal,240 kJ,1 fl. oz. (30 ml),39 cal,164 kJ
Vodka,100ml,231 cal,970 kJ,1 shot (25 ml),58 cal,243 kJ,1 fl. oz. (30 ml),69 cal,291 kJ
Whisky,100ml,250 cal,1050 kJ,1 1/2 fl. oz. (44 ml),110 cal,462 kJ,1 fl. oz. (30 ml),75 cal,315 kJ
White Wine,100ml,82 cal,344 kJ,1 glass (150 ml),123 cal,516 kJ,1 fl. oz. (30 ml),25 cal,103 kJ
Wine,100ml,83 cal,349 kJ,1 glass (150 ml),125 cal,524 kJ,1 fl. oz. (30 ml),25 cal,105 kJ
Agar-Agar,100g,26 cal,109 kJ,1 tbsp (5 g),1 cal,5 kJ,1 oz. (28 g),7 cal,31 kJ
Agave Syrup,100ml,310 cal,1302 kJ,1/4 cup (55 ml),171 cal,716 kJ,1 fl. oz. (30 ml),93 cal,391 kJ
All Purpose Flour,100ml,364 cal,1529 kJ,1 cup (120 ml),437 cal,1835 kJ,1 fl. oz. (30 ml),109 cal,459 kJ
Almond Extract,100ml,258 cal,1084 kJ,1 tbsp (8 ml),21 cal,87 kJ,1 fl. oz. (30 ml),77 cal,325 kJ
Almonds,100g,529 cal,2222 kJ,1 cup (92 g),487 cal,2044 kJ,1 oz. (28 g),148 cal,622 kJ
Apple Pie Filling,100g,100 cal,420 kJ,1 serving (60 g),60 cal,252 kJ,1 oz. (28 g),28 cal,118 kJ
Baking Powder,100g,53 cal,223 kJ,1 tsp (4.6 g),2 cal,9 kJ,1 oz. (28 g),15 cal,62 kJ
Baking Soda,100g,0 cal,0 kJ,1 tsp (4.6 g),0 cal,0 kJ,1 oz. (28 g),0 cal,0 kJ
Bread Flour,100g,361 cal,1516 kJ,1 cup (137 g),495 cal,2077 kJ,1 oz. (28 g),101 cal,424 kJ
Brittle,100g,592 cal,2486 kJ,1 oz. (28.4 g),166 cal,696 kJ,1 oz. (28 g),166 cal,696 kJ
Brown Sugar,100g,395 cal,1659 kJ,1 cup (220 g),869 cal,3650 kJ,1 oz. (28 g),111 cal,465 kJ
Buttermilk,100ml,62 cal,260 kJ,1 cup (245 ml),152 cal,637 kJ,1 fl. oz. (30 ml),19 cal,78 kJ
Butterscotch Chips,100g,539 cal,2264 kJ,1 cup (170 g),916 cal,3849 kJ,1 oz. (28 g),151 cal,634 kJ
Cake Flour,100g,362 cal,1520 kJ,1 cup (137 g),496 cal,2082 kJ,1 oz. (28 g),101 cal,426 kJ
Candied Orange Peel,100g,97 cal,407 kJ,1 tbsp (6 g),6 cal,24 kJ,1 oz. (28 g),27 cal,114 kJ
Cane Sugar,100g,387 cal,1625 kJ,1 tbsp (5 g),19 cal,81 kJ,1 oz. (28 g),108 cal,455 kJ
Chocolate Chips,100g,467 cal,1961 kJ,1 tbsp (15 g),70 cal,294 kJ,1 oz. (28 g),131 cal,549 kJ
Chocolate Sprinkles,100g,500 cal,2100 kJ,1 tbsp (5 g),25 cal,105 kJ,1 oz. (28 g),140 cal,588 kJ
Cocoa Powder,100g,228 cal,958 kJ,1 tbsp (5.4 g),11 cal,48 kJ,1 oz. (28 g),64 cal,268 kJ
Coconut Flakes,100g,456 cal,1915 kJ,1 cup (85 g),388 cal,1628 kJ,1 oz. (28 g),128 cal,536 kJ
Coconut Milk,100ml,50 cal,210 kJ,1 cup (240 ml),120 cal,504 kJ,1 fl. oz. (30 ml),15 cal,63 kJ
Corn Flour,100g,361 cal,1516 kJ,1 cup (117 g),422 cal,1774 kJ,1 oz. (28 g),101 cal,424 kJ
Corn Syrup,100ml,281 cal,1180 kJ,1 tbsp (19 ml),53 cal,224 kJ,1 fl. oz. (30 ml),84 cal,354 kJ
Cornmeal,100g,362 cal,1520 kJ,1 cup (138 g),500 cal,2098 kJ,1 oz. (28 g),101 cal,426 kJ
Cornstarch,100g,381 cal,1600 kJ,1 cup (128 g),488 cal,2048 kJ,1 oz. (28 g),107 cal,448 kJ
Couverture,100g,600 cal,2520 kJ,1 oz. (28.4 g),168 cal,706 kJ,1 oz. (28 g),168 cal,706 kJ
Cream Cheese,100g,54 cal,227 kJ,1 serving (20 g),11 cal,45 kJ,1 oz. (28 g),15 cal,64 kJ
Cream of Tartar,100g,258 cal,1084 kJ,1 tbsp (15 g),39 cal,163 kJ,1 oz. (28 g),72 cal,304 kJ
Crystallized Ginger,100g,335 cal,1407 kJ,1 tbsp (5.2 g),17 cal,70 kJ,1 oz. (28 g),94 cal,394 kJ
Custard Powder,100g,337 cal,1415 kJ,1 tbsp (17.5 g),57 cal,241 kJ,1 oz. (28 g),94 cal,396 kJ
Dark Rum,100ml,216 cal,907 kJ,1 fl. oz. (28 ml),60 cal,254 kJ,1 fl. oz. (30 ml),65 cal,272 kJ
Dextrose,100g,375 cal,1575 kJ,1 tsp (3.2 g),11 cal,47 kJ,1 oz. (28 g),105 cal,441 kJ
Dried Apricots,100g,241 cal,1012 kJ,"1 cup, halves (130 g)",313 cal,1316 kJ,1 oz. (28 g),67 cal,283 kJ
Dried Cranberries,100g,308 cal,1294 kJ,1/3 cup (40 g),123 cal,518 kJ,1 oz. (28 g),86 cal,362 kJ
Dried Figs,100g,249 cal,1046 kJ,1 fig (8.4 g),20 cal,84 kJ,1 oz. (28 g),70 cal,293 kJ
Dried Prunes,100g,107 cal,449 kJ,"1 cup, pitted (248 g)",265 cal,1114 kJ,1 oz. (28 g),30 cal,126 kJ
Duck Egg,100g,185 cal,777 kJ,1 egg (70 g),130 cal,544 kJ,1 oz. (28 g),52 cal,218 kJ
Egg,100g,97 cal,407 kJ,1 egg (60 g),58 cal,244 kJ,1 oz. (28 g),27 cal,114 kJ
Egg Nog,100g,88 cal,370 kJ,1 cup (254 g),224 cal,940 kJ,1 oz. (28 g),25 cal,104 kJ
Egg White,100g,13 cal,55 kJ,1 egg white (25 g),3 cal,14 kJ,1 oz. (28 g),4 cal,15 kJ
Egg Yolk,100g,322 cal,1352 kJ,1 egg yolk (16 g),52 cal,216 kJ,1 oz. (28 g),90 cal,379 kJ
Evaporated Milk,100g,134 cal,563 kJ,1 cup (252 g),338 cal,1419 kJ,1 oz. (28 g),38 cal,158 kJ
Flour,100g,364 cal,1529 kJ,1 cup (120 g),437 cal,1835 kJ,1 oz. (28 g),102 cal,428 kJ
Fructose,100g,368 cal,1546 kJ,1 tsp (4 g),15 cal,62 kJ,1 oz. (28 g),103 cal,433 kJ
Gelatin,100g,335 cal,1407 kJ,1 tbsp (7 g),23 cal,98 kJ,1 oz. (28 g),94 cal,394 kJ
Glucose,100g,286 cal,1201 kJ,1 tbsp (20 g),57 cal,240 kJ,1 oz. (28 g),80 cal,336 kJ
Glucose Syrup,100g,387 cal,1625 kJ,1 oz. (28.4 g),108 cal,455 kJ,1 oz. (28 g),108 cal,455 kJ
Granulated Sugar,100g,387 cal,1625 kJ,1 packet (2.8 g),8 cal,33 kJ,1 oz. (28 g),108 cal,455 kJ
Ground Cinnamon,100g,247 cal,1037 kJ,1 tsp (2.6 g),5 cal,21 kJ,1 oz. (28 g),69 cal,290 kJ
Hazelnuts,100g,628 cal,2638 kJ,"1 cup, ground (75 g)",471 cal,1979 kJ,1 oz. (28 g),176 cal,739 kJ
Heavy Cream,100g,345 cal,1449 kJ,"1 cup, whipped (120 g)",414 cal,1739 kJ,1 oz. (28 g),97 cal,406 kJ
Jaggery,100g,383 cal,1609 kJ,1 tbsp (12 g),46 cal,193 kJ,1 oz. (28 g),107 cal,451 kJ
Lemon Pie Filling,100g,143 cal,601 kJ,1 oz. (28.4 g),40 cal,168 kJ,1 oz. (28 g),40 cal,168 kJ
Malt Powder,100g,361 cal,1516 kJ,1 cup (162 g),585 cal,2456 kJ,1 oz. (28 g),101 cal,424 kJ
Malted Milk,100g,405 cal,1701 kJ,1 tbsp (7 g),28 cal,119 kJ,1 oz. (28 g),113 cal,476 kJ
Maltitol,100g,210 cal,882 kJ,1 tsp (4.5 g),8 cal,35 kJ,1 oz. (28 g),59 cal,247 kJ
Maltodextrin,100g,375 cal,1575 kJ,1 tsp (3.2 g),11 cal,47 kJ,1 oz. (28 g),105 cal,441 kJ
Maltose,100g,344 cal,1445 kJ,1 tbsp (13 g),45 cal,188 kJ,1 oz. (28 g),96 cal,405 kJ
Maple Syrup,100ml,270 cal,1134 kJ,60 millilitre (80 ml),216 cal,907 kJ,1 fl. oz. (30 ml),81 cal,340 kJ
Molasses,100g,290 cal,1218 kJ,1 cup (337 g),977 cal,4105 kJ,1 oz. (28 g),81 cal,341 kJ
Nonpareils,100g,475 cal,1995 kJ,1 tbsp (5 g),24 cal,100 kJ,1 oz. (28 g),133 cal,559 kJ
Peppermint Extract,100ml,0 cal,0 kJ,1 tsp (5 ml),0 cal,0 kJ,1 fl. oz. (30 ml),0 cal,0 kJ
Poppy Seeds,100g,525 cal,2205 kJ,1 tbsp (8.8 g),42 cal,176 kJ,1 oz. (28 g),147 cal,617 kJ
Powdered Milk,100g,496 cal,2083 kJ,1 cup (68 g),337 cal,1416 kJ,1 oz. (28 g),139 cal,583 kJ
Powdered Sugar,100g,389 cal,1634 kJ,"1 cup, unsifted (120 g)",467 cal,1961 kJ,1 oz. (28 g),109 cal,458 kJ
Protein Powder,100g,411 cal,1726 kJ,1 tbsp (11 g),45 cal,190 kJ,1 oz. (28 g),115 cal,483 kJ
Raisins,100g,474 cal,1991 kJ,1 cup (165 g),782 cal,3285 kJ,1 oz. (28 g),133 cal,557 kJ
Rice Milk,100ml,49 cal,206 kJ,1 cup (245 ml),120 cal,505 kJ,1 fl. oz. (30 ml),15 cal,62 kJ
Rock Sugar,100g,625 cal,2625 kJ,1 tsp (4 g),25 cal,105 kJ,1 oz. (28 g),175 cal,735 kJ
Rolled Oats,100g,384 cal,1613 kJ,1 cup (156 g),599 cal,2516 kJ,1 oz. (28 g),108 cal,452 kJ
Rum,100ml,246 cal,1033 kJ,1 serving (40 ml),98 cal,413 kJ,1 fl. oz. (30 ml),74 cal,310 kJ
Semolina Flour,100g,350 cal,1470 kJ,1 cup (120 g),420 cal,1764 kJ,1 oz. (28 g),98 cal,412 kJ
Sesame Seeds,100g,573 cal,2407 kJ,1 cup (144 g),825 cal,3466 kJ,1 oz. (28 g),160 cal,674 kJ
Shredded Coconut,100g,501 cal,2104 kJ,1 cup (93 g),466 cal,1957 kJ,1 oz. (28 g),140 cal,589 kJ
Sorbitol,100g,375 cal,1575 kJ,1 tsp (4 g),15 cal,63 kJ,1 oz. (28 g),105 cal,441 kJ
Soy Milk,100ml,41 cal,172 kJ,1 cup (243 ml),100 cal,418 kJ,1 fl. oz. (30 ml),12 cal,52 kJ
Soy Protein Powder,100g,338 cal,1420 kJ,1 oz. (28.4 g),95 cal,398 kJ,1 oz. (28 g),95 cal,398 kJ
Sprinkles,100g,500 cal,2100 kJ,1 tsp (2 g),10 cal,42 kJ,1 oz. (28 g),140 cal,588 kJ
Starch,100g,381 cal,1600 kJ,1 cup (128 g),488 cal,2048 kJ,1 oz. (28 g),107 cal,448 kJ
Strawberry Preserves,100g,278 cal,1168 kJ,1 tbsp (20 g),56 cal,234 kJ,1 oz. (28 g),78 cal,327 kJ
Sucrose,100g,387 cal,1625 kJ,1 tsp (4 g),15 cal,65 kJ,1 oz. (28 g),108 cal,455 kJ
Sugar,100g,405 cal,1701 kJ,1 tsp (5 g),20 cal,85 kJ,1 oz. (28 g),113 cal,476 kJ
Sunflower Seeds,100g,117 cal,491 kJ,1 serving (20 g),23 cal,98 kJ,1 oz. (28 g),33 cal,137 kJ
Sweetened Condensed Milk,100ml,321 cal,1348 kJ,1 cup (306 ml),982 cal,4125 kJ,1 fl. oz. (30 ml),96 cal,404 kJ
Sweetener,100g,360 cal,1512 kJ,1 packet (1 g),4 cal,15 kJ,1 oz. (28 g),101 cal,423 kJ
Unsalted Butter,100g,717 cal,3011 kJ,1 cup (227 g),1628 cal,6835 kJ,1 oz. (28 g),201 cal,843 kJ
Vanilla Extract,100ml,288 cal,1210 kJ,1 tbsp (13 ml),37 cal,157 kJ,1 fl. oz. (30 ml),86 cal,363 kJ
Vanilla Sugar,100g,357 cal,1499 kJ,1 tsp (2.4 g),7 cal,30 kJ,1 oz. (28 g),100 cal,420 kJ
Vegetable Oil,100g,884 cal,3713 kJ,1 tbsp (13.6 g),115 cal,483 kJ,1 oz. (28 g),248 cal,1040 kJ
Vegetable Shortening,100g,884 cal,3713 kJ,1 tbsp (12.8 g),106 cal,446 kJ,1 oz. (28 g),248 cal,1040 kJ
Walnuts,100g,131 cal,550 kJ,1 walnut (20 g),26 cal,110 kJ,1 oz. (28 g),37 cal,154 kJ
Whole Milk,100ml,61 cal,256 kJ,1 cup (244 ml),149 cal,625 kJ,1 fl. oz. (30 ml),18 cal,77 kJ
Whole Wheat Flour,100g,340 cal,1428 kJ,1 cup (120 g),408 cal,1714 kJ,1 oz. (28 g),95 cal,400 kJ
Xylitol,100g,240 cal,1008 kJ,1 tsp (4 g),10 cal,40 kJ,1 oz. (28 g),67 cal,282 kJ
Yeast (dry),100g,325 cal,1365 kJ,1 tsp (4 g),13 cal,55 kJ,1 oz. (28 g),91 cal,382 kJ
Beef,100g,171 cal,718 kJ,6 oz. (168 g),287 cal,1206 kJ,1 oz. (28 g),48 cal,201 kJ
Beef Brisket,100g,137 cal,575 kJ,1 piece (178 g),244 cal,1024 kJ,1 oz. (28 g),38 cal,161 kJ
Beef Fillet,100g,189 cal,794 kJ,6 oz. (168 g),318 cal,1334 kJ,1 oz. (28 g),53 cal,222 kJ
Beef Goulash,100g,123 cal,517 kJ,1 cup (227 g),279 cal,1174 kJ,1 oz. (28 g),34 cal,145 kJ
Beef Minute Steak,100g,133 cal,559 kJ,6 oz. (168 g),223 cal,939 kJ,1 oz. (28 g),37 cal,157 kJ
Beef Neck,100g,213 cal,895 kJ,1 piece (224 g),477 cal,2005 kJ,1 oz. (28 g),60 cal,251 kJ
Beef Pancreas,100g,271 cal,1138 kJ,1 piece (222 g),602 cal,2526 kJ,1 oz. (28 g),76 cal,319 kJ
Beef Patty,100g,247 cal,1037 kJ,1 patty  (64 g),158 cal,664 kJ,1 oz. (28 g),69 cal,290 kJ
Beef Prime Rib,100g,404 cal,1697 kJ,1 piece (278 g),1123 cal,4718 kJ,1 oz. (28 g),113 cal,475 kJ
Beef Ribs,100g,196 cal,823 kJ,1 rib (340 g),666 cal,2798 kJ,1 oz. (28 g),55 cal,230 kJ
Beef Sirloin,100g,182 cal,764 kJ,1 serving (85 g),155 cal,649 kJ,1 oz. (28 g),51 cal,214 kJ
Beef Suet,100g,854 cal,3587 kJ,1 oz. (28 g),239 cal,1004 kJ,1 oz. (28 g),239 cal,1004 kJ
